"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
75, 1.314399987460000e-01, -5.137133628795417e-02, 2.298461696362506e+02, -1.189466341654997e+00, 2.898136163046565e-01, 8.003928908335701e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.424667321994295e-02
76, 1.209499984980000e-01, -5.001187382363489e-02, 2.259539772761452e+02, -1.171627250433949e+00, 3.182859382126731e-01, 7.873594807938804e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.389897215059100e-02
77, 1.108499988910000e-01, -4.856066993422563e-02, 2.189201126119176e+02, -1.141983629956762e+00, 3.453797219388464e-01, 7.642445180968817e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.498331380546608e-03
78, 1.011300012470000e-01, -4.701715290498424e-02, 2.092155703427825e+02, -1.101940136259559e+00, 3.716577251374050e-01, 7.330460799827344e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.035677840784371e-02
79, 9.181000292300000e-02, -4.538527151431038e-02, 1.987660442222233e+02, -1.058111850029340e+00, 3.987546129673795e-01, 6.994763303934437e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.420740605519314e-03
80, 8.290000259900000e-02, -4.366791468532204e-02, 1.883862744393816e+02, -1.013246263768507e+00, 4.275363164628529e-01, 6.662633967181816e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.306842929049514e-03
81, 7.440000027400000e-02, -4.186607976498817e-02, 1.777747222629756e+02, -9.661002541556731e-01, 4.576082276078774e-01, 6.322205960757769e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.016587133031640e-03
82, 6.633000075800000e-02, -3.998513962421356e-02, 1.664521487404527e+02, -9.146955863193200e-01, 4.885197222442806e-01, 5.959614956300385e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.051561637060287e-02
83, 5.869000032500000e-02, -3.802635805630503e-02, 1.542805955368282e+02, -8.581288196899308e-01, 5.201799758523113e-01, 5.570030903338396e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.324799491309188e-02
84, 5.149000138000000e-02, -3.599337852580232e-02, 1.412551534002964e+02, -7.960242410266088e-01, 5.526229252763417e-01, 5.154335084908447e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.587202779059656e-02
85, 4.473999887700000e-02, -3.389028465845557e-02, 1.272871526098775e+02, -7.274686658824810e-01, 5.857943739425112e-01, 4.709616002008864e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.876836695365134e-02
86, 3.844000026600000e-02, -3.171811260404538e-02, 1.122406925988166e+02, -6.513595150827537e-01, 6.192495030513702e-01, 4.231270049759228e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.247425295270415e-02
87, 3.260000050100000e-02, -2.948109446637338e-02, 9.590960849274940e+01, -5.660465875277576e-01, 6.524649865890586e-01, 3.715257493682535e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.710453557120517e-02
88, 2.723000012300000e-02, -2.718419978786347e-02, 7.814610361902363e+01, -4.699972624981191e-01, 6.843486499293108e-01, 3.155331375616755e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.253650676725625e-02
89, 2.232000045500000e-02, -2.482329437156798e-02, 5.871240631624195e+01, -3.609847882973450e-01, 7.134017033707172e-01, 2.546110686669520e-04, 0.000000000000000e+00, 0.000000000000000e+00, 3.867174377541972e-02
90, 1.789999939500000e-02, -2.241364555514381e-02, 3.749488820727224e+01, -2.370478114687624e-01, 7.371480585890081e-01, 1.886296980039289e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.566888922686027e-02
91, 1.394999958600000e-02, -1.994492353858276e-02, 1.430566785142678e+01, -9.585839703500054e-02, 7.513484768462870e-01, 1.168100069491116e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.249484967361789e-02
92, 1.049000024800000e-02, -1.742916196961543e-02, -1.076877323922079e+01, 6.416774259763208e-02, 7.504537010434906e-01, 4.004095370135858e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.845143746795154e-02
93, 7.519999985000000e-03, -1.486756313872443e-02, -3.728581869464124e+01, 2.418418658124701e-01, 7.261449171227665e-01, -4.050019993090288e-05, 0.000000000000000e+00, 0.000000000000000e+00, 6.077375206644919e-02
94, 5.040000193000000e-03, -1.226032473458219e-02, -6.439272406846491e+01, 4.332574201043975e-01, 6.670225220919053e-01, -1.216783949590915e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.536263473805283e-02
95, 3.049999941000000e-03, -9.605565346412577e-03, -8.964408984282447e+01, 6.269244944953353e-01, 5.663975237793580e-01, -1.986316311409786e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.334691737260599e-02
96, 1.560000004000000e-03, -6.917517506923035e-03, -1.121601431383428e+02, 7.947635295534391e-01, 4.120290113909476e-01, -2.575711501693682e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.053123076920465e-02
97, 5.600000150000000e-04, -4.173159738460802e-03, -1.277864973995432e+02, 9.311473964778725e-01, 1.885107272394740e-01, -2.921064245975068e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.104890317818618e-02
98, 5.999999800000000e-05, -1.375329724321098e-03, -1.205328833269044e+02, 9.934145162662146e-01, 7.570760405316359e-03, -3.445463758273842e-04, 0.000000000000000e+00, 0.000000000000000e+00, -5.416762408666449e-03
99, 0.000000000000000e+00, 0.000000000000000e+00, -1.040631432679756e+02, 1.009523776850189e+00, -9.449959548962864e-03, -3.934435687249291e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.618337131626396e-02
100, 5.999999800000000e-05, 1.375329724321098e-03, -1.002450548744370e+02, 9.950834061131546e-01, -9.930360281899388e-03, -4.011011971444183e-04, 0.000000000000000e+00, 0.000000000000000e+00, -6.415835585785322e-03
101, 5.600000150000000e-04, 4.173159738460802e-03, -9.950059264030045e+01, 9.791010327558490e-01, -4.229337115680212e-02, -3.853976517529083e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.773850677530073e-02
102, 1.560000004000000e-03, 6.917517506923035e-03, -9.434978647395447e+01, 9.495727014050954e-01, -7.818033170379947e-02, -3.725144194940875e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.772783997139535e-02
103, 3.049999941000000e-03, 9.605565346412577e-03, -8.889458748233315e+01, 9.194696480785133e-01, -9.854688873410665e-02, -3.563182890547541e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.065746174447806e-01
104, 5.040000193000000e-03, 1.226032473458219e-02, -8.279361077451037e+01, 8.834575740835089e-01, -1.123034428161625e-01, -3.384121202419297e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.125916339496741e-01
105, 7.519999985000000e-03, 1.486756313872443e-02, -7.682840600589429e+01, 8.499662430958927e-01, -1.189621073732617e-01, -3.204571107950802e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.086804091015393e-01
106, 1.049000024800000e-02, 1.742916196961543e-02, -7.088541107694610e+01, 8.180158002217754e-01, -1.213345740260518e-01, -3.021348283981752e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.730706192487049e-02
107, 1.394999958600000e-02, 1.994492353858276e-02, -6.571006009707055e+01, 7.904100777061801e-01, -1.189875357585484e-01, -2.865248022798939e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.679214726726712e-02
108, 1.789999939500000e-02, 2.241364555514381e-02, -6.230938368051164e+01, 7.697949660142360e-01, -1.105953464887540e-01, -2.765804638141595e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.653106375098222e-02
109, 2.232000045500000e-02, 2.482329437156798e-02, -5.614880170191482e+01, 7.415461794497451e-01, -1.087200830399721e-01, -2.572240512278002e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.355906200374459e-02
110, 2.723000012300000e-02, 2.718419978786347e-02, -4.253875340816018e+01, 6.917315958017873e-01, -1.237844888509529e-01, -2.128810425444424e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.609862993908444e-02
111, 3.260000050100000e-02, 2.948109446637338e-02, -3.684826959705958e+01, 6.700399343287690e-01, -1.241480848983522e-01, -1.928780539630583e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.370849548287153e-02
112, 3.844000026600000e-02, 3.171811260404538e-02, -6.588284844449053e+01, 7.611446820578526e-01, -6.613146826247827e-02, -2.817413559271850e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.407474462452857e-01
113, 4.473999887700000e-02, 3.389028465845557e-02, -1.148929879756662e+02, 9.159633854703090e-01, 1.754051636214117e-02, -4.357072794781554e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.696180687854228e-01
114, 5.149000138000000e-02, 3.599337852580232e-02, -1.137791418235285e+02, 9.075302250828766e-01, 2.544990716672425e-02, -4.376588333212737e-04, 0.000000000000000e+00, 0.000000000000000e+00, 2.992116563905745e-01
115, 5.869000032500000e-02, 3.802635805630503e-02, -1.337897470589357e+01, 5.754960022433159e-01, -8.465895894148724e-02, -1.299049054858324e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.025417624538345e-01
116, 6.633000075800000e-02, 3.998513962421356e-02, 1.433194476471263e+02, 5.761042183149634e-02, -2.330318065368388e-01, 3.623090055531078e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.605942400163310e-01
117, 7.440000027400000e-02, 4.186607976498817e-02, 2.593641525244203e+02, -3.308362308053731e-01, -3.095290922286338e-01, 7.389010877090912e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.303980935341922e-01
118, 8.290000259900000e-02, 4.366791468532204e-02, 2.799195784389907e+02, -4.079637592557913e-01, -2.854107589598430e-01, 8.196611704225838e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.078016836935745e-01
119, 9.181000292300000e-02, 4.538527151431038e-02, 2.264594064908738e+02, -2.404239161476992e-01, -2.107045204818366e-01, 6.613544600405720e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.117609309309696e-01
120, 1.011300012470000e-01, 4.701715290498424e-02, 1.509269710861842e+02, 3.009284828769683e-03, -1.401284431047690e-01, 4.237932573382309e-04, 0.000000000000000e+00, 0.000000000000000e+00, -4.501081647181123e-01
121, 1.108499988910000e-01, 4.856066993422563e-02, 8.493678159748900e+01, 2.175706569495824e-01, -9.162278774361163e-02, 2.110460607469833e-04, 0.000000000000000e+00, 0.000000000000000e+00, -3.733706659191598e-01
122, 1.209499984980000e-01, 5.001187382363489e-02, 3.297268682200483e+01, 3.868620998194178e-01, -5.868764956119634e-02, 4.170320797845756e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.984599057852940e-01
123, 1.314399987460000e-01, 5.137133628795417e-02, -1.012458350197912e+01, 5.270248925258205e-01, -3.380210374937945e-02, -9.852364342290167e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.477559807044752e-01
