"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374875955082303e+00, 3.222897664727030e+02, 4.404685394455348e+01, 3.150057564914315e+05
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.367916308483901e+00, 3.239616263982414e+02, 4.389049919052385e+01, 3.136341808979918e+05
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.361182229817882e+00, 3.255303932276179e+02, 4.369728247909740e+01, 3.123055246619892e+05
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.354643786189892e+00, 3.270094001707633e+02, 4.346982799744994e+01, 3.110140845464523e+05
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.348272828388093e+00, 3.284082869091879e+02, 4.321128168058598e+01, 3.097543440425132e+05
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.342060272163753e+00, 3.297352195607188e+02, 4.292291681315695e+01, 3.085247607745170e+05
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.335980684914823e+00, 3.309923872015974e+02, 4.260701688721525e+01, 3.073199386451826e+05
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.330033844778825e+00, 3.321927870067813e+02, 4.226583672059672e+01, 3.061406221619667e+05
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.324204456061604e+00, 3.333366474872508e+02, 4.190039965600333e+01, 3.049834643287295e+05
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.318466587091649e+00, 3.344247004777399e+02, 4.151194455403612e+01, 3.038429152652040e+05
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.312831027610309e+00, 3.354718919130443e+02, 4.110306501549300e+01, 3.027222648223863e+05
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.307261594539124e+00, 3.364716751501250e+02, 4.067304291217097e+01, 3.016132845823528e+05
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301756258637614e+00, 3.374339541209108e+02, 4.022450623259813e+01, 3.005162205008778e+05
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.296302749835922e+00, 3.383574186724909e+02, 3.975679718560648e+01, 2.994283120654792e+05
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.290896176013733e+00, 3.392482020673210e+02, 3.927096026388464e+01, 2.983489347853216e+05
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.285526969007354e+00, 3.401048661990861e+02, 3.876718615840137e+01, 2.972759132440052e+05
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.280196483370855e+00, 3.409291375942292e+02, 3.824486688313420e+01, 2.962096117376504e+05
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.274902831406820e+00, 3.417280585138392e+02, 3.770499135870454e+01, 2.951501353455293e+05
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.269622103310780e+00, 3.425002283842856e+02, 3.714640590739181e+01, 2.940922976119543e+05
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.264315961919099e+00, 3.432450561970711e+02, 3.656833191254123e+01, 2.930279518585922e+05
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.258982197243585e+00, 3.439708041102551e+02, 3.597071587772746e+01, 2.919572668957226e+05
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.253629181408631e+00, 3.446778229609377e+02, 3.535217651589866e+01, 2.908820218021149e+05
35, 7.103199958800001e-01, -3.530689307158652e-02, 1.248234592290547e+00, 3.453583358605531e+02, 3.471053999746515e+01, 2.897968961552177e+05
36, 6.958900094030001e-01, -3.674225211597043e-02, 1.242827496260039e+00, 3.460287330330790e+02, 3.404613741161102e+01, 2.887092981207341e+05
37, 6.812700033190000e-01, -3.816515293304169e-02, 1.237351328141371e+00, 3.466694449760557e+02, 3.335473629733914e+01, 2.876057740357560e+05
38, 6.664699912070000e-01, -3.957289370556494e-02, 1.231823172612276e+00, 3.472962360084630e+02, 3.263615984872191e+01, 2.864911835333321e+05
39, 6.514999866490000e-01, -4.096270419333766e-02, 1.226219665139135e+00, 3.479057291859476e+02, 3.188790495979202e+01, 2.853603659446810e+05
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.220525459592657e+00, 3.484946266525070e+02, 3.110732821525606e+01, 2.842098540119788e+05
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.214743165101284e+00, 3.490701687688865e+02, 3.029256721961305e+01, 2.830408135076629e+05
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.208841401229393e+00, 3.496230547402837e+02, 2.944013072311209e+01, 2.818459422399177e+05
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.202831043445336e+00, 3.501627972115469e+02, 2.854802085413933e+01, 2.806283455453467e+05
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.196693156095906e+00, 3.506784584242590e+02, 2.761206628376685e+01, 2.793831968036272e+05
